,title,description
283,Sr Data Engineer with Kafka,"Data Engineer with Kafka (W2 Only)💯% Remote
Min 10 to12+ strong development experience neededVery strong experience in Kafka and Kafka data injection Strong exp in working with API.Strong exp in Python with AWS.Experience with Informatica IICS and Snowflake. Expertise in Snowflake's cloud data platform, including data loading, transformation, and querying using Snowflake SQL.Experience with SQL-based development, optimization, and tuning for large-scale data processing.Strong understanding of dimensional modeling concepts and experience in designing and implementing data models for analytics and reporting purposes.hands-on experience in IICS or Informatica Power Center ETL development1+ years of hands-on experience in Linux and shell scripting.1+ years of experience working with git.1+ years of related industry experience in an enterprise environment.1+ years of hands-on experience in Python programming.
"
360,Cloud Platform/ Big Data Engineer,"About Subaru Research and Development:Do you care about making social impacts through your job, like eliminating fatal accidents by improving safety driving systems, or reducing carbon emissions by developing new BEVs?Do your personal interests relate to road trips, going outdoors, off-road driving, hands-on work on cars, or rally and racing? If your answer is yes, then this job is right for you!
Subaru R&D is an innovation partner of SUBARU Corporation in Japan, and our mission is to serve as a R&D hub of the SUBARU Group. We strive to create products that ignite the hearts of our customers in North America market. We lead and support Subaru's next generation vehicle development by researching, prototyping, testing, and analyzing.
General Position Summary:Develops and directs software system tests, programming, and documentation. Analyzes North American customer data and technical trends to determine user demands and set target performance goals for future products, and coordinates testing with Japan counterparts.Develops, research, designs, implements, tests, and evaluates software and systems, in conjunction with vehicle hardware development, to enable vehicle compute units to perform their applications.Analyzes software requirements to determine feasibility of design within time and cost constraints.Consults with other vehicle development engineers and engineering staff to evaluate interfacing, operational, and performance requirements of overall systems mainly in cockpit.Formulates and designs software systems, using scientific analysis to measure outcomes of designs.
Responsibilities:Develop internal software solutions for data analysis, data ingestion, or web applications using Google Cloud Platform, Amazon Web Service, or Microsoft Azure.Enable back-end services across the Subaru vehicle connected system.Leverage both public and private cloud environments to ensure a robust and scalable infrastructure.Construct and adapt data models to support analysis work.Design unit and integration tests.Write technical reports and give feedback to Subaru Corporation in Japan by writings, emails, and presentations.Support the maintenance of internal web applications.Construct software tools and internal packages to scale data analysis work for other team members.Plan, conduct and evaluate the Proof of Concept (PoC) stage in developing Subaru's next generation infotainment system, cockpit system including meters, displays, buttons, etc.Plan, propose solutions, test the potential solutions, and evaluate the testing data, regarding how interface between software and vehicle hardware can be improved for big data analysis purposes.Collect data from prototype system, clean/prepare the data, analyze the data, and draw conclusions on the testing results.Collaborate with other technical experts including product managers, UI/UX designers, marketing experts, and other business stakeholders.
Qualifications:1-2 years previous automotive engineering experience including internship.Bachelor’s degree in mechanical engineering, electrical engineering, computer science, software engineering, or equivalent, or equivalent combination of education and experience.Knowledge and experience of big data analysis or statistical data processing is a plus.Knowledge and experience in Python, C++, or JAVA is a plus.Knowledge and/or certificate around AWS, GCP, or Azure is mandatory.Proof of relevant work via internships or an active Github page in lieu of professional experience is accepted.Communication skills across cultural and language barriers.
Compensation and Benefit:Individual base salary is determined by factors such as job-related skills, experience, and relevant education or training. In addition to competitive salary, Subaru offers an amazing benefits package that includes:Medical, Dental, Vision Plans Medical, Dental, Vision plans available on your first dayPension and 401K Match Offerings12 Vacation days for the first year. (The amount increases with the length of service.)14 Company Holidays, 3 Floating Holidays, and 5 Sick daysEducation Assistance Program/ Gym Membership AssistanceVehicle Discount Program/ Vehicle Lease Program
Equal Opportunity:Subaru R&D is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or expression, pregnancy, age, national origin, disability status, genetic information, protected veteran status, or any other characteristic protected by law."
367,Data Engineer/ETL,"Responsibilities:Develop new features, fix bugs, Writing and maintaining code in React, JavaScript, Typescript, and Node.js Using data and analytics to improve the product and customer experienceAccountable for code quality, including writing unit and integration testsWorking collaboratively with a team and refactor PHP and Javascript code for both the frontend and backend of a B2B SaaS product. You will work with another developer via Ping-Pong Programming to help you get up to speed on the code and be part of our initiative for Test Driven Development.Collaborate with the IT team to implement, test, and continuously deliver new features.Create and maintain endpoints.Contribute to all phases of the software development lifecycle.Design and develop applications in React, ensuring scalability, repeatability, support, etc.Develop complex, intelligent, and secure software applications with modern technologies for implementation on both client and servicer side.Build frontend UIs that are simple and powerful.Create code in full stack capacity – involving several languages.Adhere to best practices, technical standards, etc. through testing and team-wide support.Identify inefficiencies and analyze root cause and solutions.Stay up to date on the newest technologies and act as SME for upper management to propose and prioritize upgrades.
Requirements:0 - 3 + years of full stack software development experience BS in Computer Science or relevant field preferredExperience with React, Html, Css, Typescript, api, Javascript, Git, MySQL, Node, Apache, Docker, AWS, and other technologies and languages.Experience creating/maintaining endpoints.Strong background building authenticated APIs.Experience/knowledge of AWS Lambda Functionality.Ability to accurately estimate project scope and tasks, Self-starter capable of taking on tasks without explicit direction
"
389,Data Analyst,"Job Title: Data AnalystDuration: ContractLocation: Queens-NY (Day 1 onsite)-- Need only locals 

Role DescriptionThis is a contract role for a Data Analyst. As a Data Analyst, you will be responsible for collecting, analyzing, and interpreting complex data sets. You will work with various departments to identify patterns, trends, and insights that can be used to improve business operations. This is an on-site role located in Queens, NY.
QualificationsAnalytical skills, including the ability to collect, organize, analyze and disseminate significant amounts of information with attention to detail and accuracyData Analytics and Statistics skills, including experience with statistical analysis software and data visualization toolsExcellent communication skills, including the ability to explain technical concepts to non-technical stakeholders and present findings to both technical and non-technical audiencesData Modeling skills, including the ability to develop and maintain complex data models and schemasA Bachelor's degree in Computer Science, Mathematics, Statistics or related fieldExperience with cybersecurity, blockchain, or financial services industries is a plusExperience with SQL, Python, or R programming languages is preferred"
483,Senior Data Engineer/Analyst - Full Time,"Job Type: Full-Time, Permanent 
Responsibilities:
Ensure systems meet business requirements and industry practices for mortgage banking.Build high-performance algorithms, prototypes, predictive models, and proof of concepts.Integrate new data management technologies and software engineering tools into existing structures.Create data tools for analytics and line of business that assist them in building and optimizing our product into an innovative industry leader.Work with data and analytics experts to strive for greater functionality in our data systems.
Benefits:Flexible scheduleFlexible spending accountPaid time offReferral programTuition reimbursement
"
663,Machine Learning Engineer,"Job Title: Python AI/ MLType: FulltimeLocation: Dallas, TX Python/AI-ML:Hands on experience with Python, Streamlit, Fastapi (minimum 2+ max 6 years)Hands on experience in developing neural networks using Tensorflow or Pytorch frameworkHands on experience with NLP (NLTK, Spacy, BERT, SBERT models)Hands on experience with vector database (Milvus, FAISS, Pinecone, Vespa, Chroma etc.,)Good understanding on LLMs, Gen AI, Langchain, transformersExperience working and deploying in cloud environment will be added advantage (Google Cloud, AWS, Azure)Willing to learn and adapt to the advancements in the Gen AI technology and work on POCs"
670,eCommerce Data Analyst,"Job Description: JOB SUMMARY:Responsible for cleaning, analyzing, interpreting, and displaying data using different approaches and business intelligence tools known as data analysis. Responsible for supporting a select group of digital tools and solutions and managing the implementation, business process modifications, project management, training, and communications of those technologies across the organization and targeted user base. Lead the demonstration of solutions and training for users on digital technology, provide collateral and updated training documents, and serve as an escalation point to troubleshoot non-common issues and user onboarding.DETAILED DESCRIPTION:• Responsible for supporting a selected group of digital tools and solutions and managed the implementation, business process modifications, project management, training, and communications of those technologies across the organization and targeted user base• Leads the demonstration of solutions and training for users on our internally grown digital technology, provides collateral and updated training documents and serves as an escalation point to troubleshoot non-common issues and user onboarding• Assists with the development, planning, organizing, and executing of all administrative tasks for a project• Monitors project execution aspects to ensure contribution by team members• Performs incidental project management, including planning, research, analysis and implementation of deliverables and action items• Acts as project sub-task lead on small projects• Assigning numerical value to essential business functions to assess and compare performance over time• Preparing reports for the management stating trends, patterns, and predictions using relevant data• Preparing final analysis reports for the stakeholders to understand the data-analysis steps, enabling them to make crucial decisions based on various facts and trends
REQUIREMENTS AND SKILLS:• Experience analyzing data sets to find ways to solve problems relating to a business's customers• Familiarity with the eCommerce industry is a plus• Experience using data analyst tools• Experience presenting to peers, management, and other stakeholders• Excellent communication and problem-solving skills• Outstanding organizational skills• Multi-tasking abilities• Detailed oriented• Self-starter• Critical Thinking• Exceptional teamwork and leadership skills to help other technical support workers• Ability to learn new technologies and implement them• Personable and attentive – excellent customer service skills• Strong interpersonal skills• Performs incidental project management, including planning, research, analysis and implementation of deliverables and action items• Manage daily tasks
"
771,Azure Data Engineer (Full time),"Publicis Sapient is looking for Senior Associate, Data Engineers to be part of our team of top-notch technologists. You will lead and deliver technical solutions for large-scale digital transformation projects. Working with the latest data technologies in the industry, you will be instrumental in helping our clients evolve for a more digital future.***We've been named a LEADER in Gen AI***
NOTE: This is a FULL-TIME EMPLOYMENT, NOT A CONTRACT!!
Required Tech Stack:Be able to build and implement quality data pipelines in Azure Data Factory, Pyspark, Python, Databricks, and Azure Synapse.Well-versed with ADO pipelines Azure Cosmos DB, Azure EventHub.Handson in Automated quality and performance testing frameworks.
Must-Haves:Applicants must be residing in the US and be legally authorized to workPreferred location: Arlington(Virginia) and East Coast5+ years of demonstrable experience in data platforms involving the implementation of end-to-end data pipelinesHands-on exp with the AZURE cloud data platformImplementation exp with column-oriented database technologies (Big Query, Redshift, Vertica), NoSQL database technologies (DynamoDB, BigTable, CosmosDB, Cassandra), and traditional database systems (i.e. SQL Server, Oracle, MySQL)Exp in implementing data pipelines for both streaming and batch integrations using tools/frameworks like Glue ETL, Lambda, Spark, Spark Streaming, Google Cloud DataFlow, Azure Data Factory, etc.Exp in data modeling, warehouse design, and fact/dimension implementations.Bachelor's/ Masters degree in Computer Science, Engineering, or related field.Ability to handle multiple responsibilities simultaneously in leadership and contributing to tasks “hands-on”
Set Yourself Apart With:Exposure to a wide range of reporting and visualization tools, Python, DBTCertifications for any of the cloud services like AWS, GCP, or AzureExp working with code repositories and continuous integrationUnderstanding of development and project methodologiesWillingness to travel to office/client site when required (This is a Hybrid role with 3 days/week)
Annual Pay Ranges are listed below:
Senior Associate Data Engineering L1: 95,000- 128,000 USDSenior Associate Data Engineering L2: 108,000- 145,000 USDThe range shown represents a grouping of relevant ranges currently used at Publicis Sapient. The actual range for this position may differ, depending on location and the specific skillset required for the work.
Benefits of Working Here:Flexible vacation policyUnlimited PTO's15 company paid holidays annuallyWork Your World programGenerous parental leave and new parent transition programTuition reimbursementCorporate gift matching program401 (k)
All your information will be kept confidential according to EEO guidelines.#LI-Hybrid"
971,Azure Data Engineer,"Company DescriptionEcontenti, Inc is a leading provider of technology, business consulting, and cloud computing services. Specializing in developing applications on the Force.com platform, Econtenti serves businesses globally from its state-of-the-art development center.
Role DescriptionThis is a full-time on-site role for an Azure Data Engineer located in Seattle, WA. The Azure Data Engineer will be responsible for day-to-day tasks related to data engineering, data modeling, ETL (Extract Transform Load), data warehousing, and data analytics. We are not open to C2C, we are open to candidates who are looking for H1BT and been laid off. 
QualificationsData Engineering, Data Modeling, and ETL (Extract Transform Load) skillsMonitor and support data pipelines and ETL workflowsData Warehousing and Data Analytics skillsExperience with Azure cloud services and toolsStrong problem-solving and analytical skillsProficiency in SQL and other programming languagesExperience with data integration and data migrationExcellent communication and collaboration skillsBachelor's degree in Computer Science, Engineering, or related field
Enterprise Required SkillsPython, Big data, Data warehouse, ETL, Development, azure, Azure Data Factory, Azure Databricks, Azure SQL Server, Snowflake, data pipelines
Top Skills Details1. 3+ years with ETL Development with Azure stack (Azure Data Factory, Azure Databricks, Azure Blob, Azure SQL).  2. 3+ years with Spark, SQL, and Python. This will show up with working with large sets of data in an enterprise environment.  3. Looking for Proactive individuals who have completed projects from start to completion and have an ability to work independently and once ramped up, require minimal handholding.

"
1044,Wealth Management Business Data Analyst,"Job Title: BUSINESS DATA ANALYST Location: Austin, TX, or Charlotte, NC - (Hybrid 3 days onsite) 
 W2 POSITION
  Technical skills requirements: • Business Data Analysis with Wealth Management experience (10+ years). • Strong in AWS and SQL queries and Python. 
Wealth Management Domain knowledge required: • Prime broker-dealer business, alternative investments, retirement funds, portfolio management • Experience working with ledger book tools like Beta, and Fund Master would be a plus. • Trade placing and execution on behalf of clients. Tools like Client worksheet balance, which advisors use to execute trades on behalf of the clients • Client portfolio construction, Client portfolio rebalancing as per market conditions, etc."
